gene_id	string_protein_id	propagate_score
CYP2B6	9606.ENSP00000324648	4.935747876767309e-05
STRA8	9606.ENSP00000275764	4.888587944139624e-06
ALDH1A2	9606.ENSP00000249750	1.969422771131753e-05
CYP1A2	9606.ENSP00000342007	9.900605697388346e-05
ALDH1A3	9606.ENSP00000332256	2.2261258852770936e-05
AOX1	9606.ENSP00000363832	4.5177296399198274e-05
CYP1A1	9606.ENSP00000369050	0.00011365423932637887
CYP3A7	9606.ENSP00000480571	2.5566038388398985e-05
ALDH1A1	9606.ENSP00000297785	3.6181800441917695e-05
CYP2C8	9606.ENSP00000360317	3.6954581727540595e-05
NANOS2	9606.ENSP00000341021	1.3724417808512577e-05
CYP2C18	9606.ENSP00000285979	2.33557813333461e-05
CYP26C1	9606.ENSP00000285949	1.0973692426964676e-05
CRABP1	9606.ENSP00000299529	3.450268069339856e-06
CYP4A11	9606.ENSP00000311095	3.745029667027813e-05
NDUFAF7	9606.ENSP00000002125	1.8866583853845396e-05
NDUFA1	9606.ENSP00000360492	2.5854366804336186e-05
MT-ND1	9606.ENSP00000354687	2.5366943753150557e-05
NDUFA7	9606.ENSP00000301457	3.300774744315654e-05
METTL20	9606.ENSP00000350353	5.828685587133874e-06
NDUFS5	9606.ENSP00000362060	3.5758275487526345e-05
NDUFB7	9606.ENSP00000215565	3.87256122906089e-05
NDUFA10	9606.ENSP00000252711	2.8421226707301035e-05
ECSIT	9606.ENSP00000270517	2.9959299448590485e-05
NDUFS7	9606.ENSP00000233627	3.3706866837370166e-05
NDUFA5	9606.ENSP00000417142	3.3033081114667826e-05
NDUFS2	9606.ENSP00000356972	3.575804374078593e-05
NDUFS3	9606.ENSP00000263774	3.604501647033182e-05
NDUFA12	9606.ENSP00000330737	3.5532447084678576e-05
NDUFA8	9606.ENSP00000362873	3.219903970417742e-05
MT-ND4	9606.ENSP00000354961	2.3958654343098063e-05
NDUFA13	9606.ENSP00000423673	3.8539497148446215e-05
NDUFA3	9606.ENSP00000418438	2.3168886382499357e-05
NDUFS8	9606.ENSP00000315774	3.580701112451977e-05
MT-ND2	9606.ENSP00000355046	2.5775135042164245e-05
NDUFB6	9606.ENSP00000369176	2.7556265822952034e-05
NDUFS1	9606.ENSP00000392709	3.103831930069882e-05
NDUFV2	9606.ENSP00000327268	3.288704706948919e-05
NDUFB9	9606.ENSP00000276689	3.343968499584672e-05
NDUFAF2	9606.ENSP00000296597	1.8203400128582694e-05
MT-ND5	9606.ENSP00000354813	2.438284310341723e-05
NDUFC1	9606.ENSP00000441126	2.5073253771718532e-05
NDUFS4	9606.ENSP00000296684	3.471672203675856e-05
NDUFA9	9606.ENSP00000266544	3.799716160528507e-05
NDUFB2	9606.ENSP00000419087	2.4297835836490615e-05
NDUFB4	9606.ENSP00000184266	2.5491277393236104e-05
NDUFB1	9606.ENSP00000330787	2.2375779811027094e-05
FOXRED1	9606.ENSP00000263578	1.8572854852263085e-05
NDUFV3	9606.ENSP00000346196	2.207634542778912e-05
NDUFB8	9606.ENSP00000299166	4.882968194114099e-05
NDUFB11	9606.ENSP00000276062	2.8960282155472523e-05
NDUFA2	9606.ENSP00000252102	3.0411084968509514e-05
NUBPL	9606.ENSP00000281081	9.566112661116187e-06
NDUFB5	9606.ENSP00000259037	3.5019552669681e-05
NDUFAF6	9606.ENSP00000379430	1.702231072224393e-05
TIMMDC1	9606.ENSP00000418803	2.4098747891010205e-05
METTL10	9606.ENSP00000357829	5.029897343344196e-06
NDUFB10	9606.ENSP00000268668	3.101468039010481e-05
NDUFAF3	9606.ENSP00000323076	2.00318447237253e-05
NDUFA6	9606.ENSP00000418842	3.153151096303073e-05
NDUFC2	9606.ENSP00000281031	8.797538803674103e-05
NDUFS6	9606.ENSP00000274137	3.177582630967462e-05
NDUFAB1	9606.ENSP00000458770	4.8759620996722786e-05
MT-ND6	9606.ENSP00000354665	2.283469879354919e-05
MT-ND3	9606.ENSP00000355206	2.344342398448232e-05
TMEM126B	9606.ENSP00000351737	1.796725831793985e-05
METTL13	9606.ENSP00000354920	2.699778060202472e-06
NDUFV1	9606.ENSP00000322450	3.366208505493107e-05
NDUFA11	9606.ENSP00000389160	3.5288930080062485e-05
NSUN3	9606.ENSP00000318986	5.567202599173799e-06
METTL12	9606.ENSP00000431287	1.5429230548272916e-06
NDUFB3	9606.ENSP00000237889	2.687335516576814e-05
ACAD9	9606.ENSP00000312618	2.2019273740319197e-05
MTRF1L	9606.ENSP00000356202	1.9922784358378703e-05
NDUFAF5	9606.ENSP00000367346	1.9765260246831834e-05
NDUFAF4	9606.ENSP00000358272	1.883554436087792e-05
NDUFAF1	9606.ENSP00000260361	1.919300498882824e-05
FUCA2	9606.ENSP00000002165	0.0001462358867815969
MPO	9606.ENSP00000225275	0.00016727265125874444
HSP90B1	9606.ENSP00000299767	0.00018071292840391316
P4HB	9606.ENSP00000327801	0.00020539544128869548
ARSA	9606.ENSP00000216124	6.664757444393449e-05
DSN1	9606.ENSP00000389810	0.00015980898171558884
RETN	9606.ENSP00000221515	0.00017829263225303826
FSTL3	9606.ENSP00000166139	9.252755127981301e-05
PDIA6	9606.ENSP00000385385	0.00010796953894040045
VAT1	9606.ENSP00000347872	5.692909585153823e-05
AGA	9606.ENSP00000264595	7.114798115987027e-05
CECR1	9606.ENSP00000382731	6.165659727898373e-05
HMHA1	9606.ENSP00000439601	7.235394565864784e-05
TNC	9606.ENSP00000265131	0.00019039071012570802
AFP	9606.ENSP00000379138	0.00011730794946035178
GDI2	9606.ENSP00000369538	0.0001250058597564118
CP	9606.ENSP00000264613	0.00010504815619346565
MSLN	9606.ENSP00000372313	0.00017524727890879185
ARG1	9606.ENSP00000349446	0.00020705557173292334
ELANE	9606.ENSP00000466090	0.00017742702610924787
CALU	9606.ENSP00000438248	9.974459789814945e-05
ANO8	9606.ENSP00000159087	8.980016675166066e-05
MAN2B1	9606.ENSP00000395473	5.8744766014123726e-05
AMELX	9606.ENSP00000370088	9.696261359053112e-05
MFGE8	9606.ENSP00000268150	0.00010995661609282062
GAS6	9606.ENSP00000331831	0.0001475152945253619
CHRDL1	9606.ENSP00000361112	9.546598754187508e-05
PA2G4	9606.ENSP00000302886	9.321453870580739e-05
CHGB	9606.ENSP00000368244	9.679100742450002e-05
CYB5R3	9606.ENSP00000354468	7.05284039919944e-05
MXRA8	9606.ENSP00000399229	9.101357876509797e-05
NAPRT	9606.ENSP00000401508	8.834699387688977e-05
GUSB	9606.ENSP00000302728	8.906398344025359e-05
PLAC8	9606.ENSP00000399700	5.8660090455641855e-05
RCN1	9606.ENSP00000054950	9.671085401011862e-05
FAM20C	9606.ENSP00000322323	9.256111932050966e-05
SDC2	9606.ENSP00000307046	0.0002955281216698961
RNASET2	9606.ENSP00000426455	6.109804355952535e-05
CST3	9606.ENSP00000381448	0.0001791155295756896
GCA	9606.ENSP00000394842	7.042975507793876e-05
SCG3	9606.ENSP00000220478	9.242902552002168e-05
FRK	9606.ENSP00000476145	0.0001494835863962672
SDCBP	9606.ENSP00000260130	0.00010043438439515338
STC2	9606.ENSP00000265087	9.038596652110788e-05
PRKCD	9606.ENSP00000378217	0.00027243962226715975
VGF	9606.ENSP00000249330	9.283337163201528e-05
FBN1	9606.ENSP00000325527	0.00015628518030501347
MFI2	9606.ENSP00000296350	0.00012462878767801426
MEPE	9606.ENSP00000416984	9.46135816912598e-05
FSTL1	9606.ENSP00000295633	9.603765405513766e-05
AMBN	9606.ENSP00000313809	9.717659260887817e-05
SPP2	9606.ENSP00000168148	0.00011032630165561733
KTN1	9606.ENSP00000378725	0.00010246377840486214
SERPINA1	9606.ENSP00000416066	0.00019738793504933216
NOTUM	9606.ENSP00000387310	0.00010765353500966356
C3	9606.ENSP00000245907	0.0003672610450985727
HRC	9606.ENSP00000252825	9.084990407989122e-05
PRSS23	9606.ENSP00000280258	8.980016675166066e-05
IGFBP4	9606.ENSP00000269593	9.691511850569627e-05
GLA	9606.ENSP00000218516	7.0682958471084e-05
PSMD1	9606.ENSP00000309474	0.00026012486038337254
